Id,Type,Source,SourceText,Name,DateArrival,DateDeparture,Nights,HouseName,InternalCode,House_Id,RoomTypes,People,DateCreated,TotalAmount,Currency,Status,Email,Phone,CountryName
OCT2025036,Booking,VRBO,OCT036,Susan,2025-10-16,2025-10-18,2,"At Home in Madrid VI, Centro, Prado, Barrio Letras",,685241,At Home in Madrid VI  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,300.00,EUR,Booked,susan@email.com,,USA
OCT2025038,Booking,Airbnb,OCT038,Debbie,2025-09-30,2025-10-02,2,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,300.00,EUR,Booked,debbie@email.com,,USA
OCT2025039,Booking,Airbnb,OCT039,Jo,2025-10-10,2025-10-12,2,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,300.00,EUR,Booked,jo@email.com,,USA
OCT2025040,Booking,Airbnb,OCT040,Cecile,2025-10-17,2025-10-21,4,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,600.00,EUR,Booked,cecile@email.com,,France
OCT2025041,Booking,VRBO,OCT041,Leslie,2025-10-04,2025-10-07,3,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,450.00,EUR,Booked,leslie@email.com,,USA
OCT2025042,Booking,VRBO,OCT042,Kelly,2025-10-13,2025-10-17,4,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,600.00,EUR,Booked,kelly@email.com,,USA
OCT2025043,Booking,VRBO,OCT043,Luis,2025-10-22,2025-10-27,5,"At Home in Madrid VII, Trendy Neighborhood",,685240,At Home in Madrid VII  Trendy Neighborhood,2,2025-09-16 12:00,750.00,EUR,Booked,luis@email.com,,Spain
OCT2025045,Booking,Airbnb,OCT045,Vanita,2025-10-01,2025-10-04,3,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,450.00,EUR,Booked,vanita@email.com,,India
OCT2025046,Booking,Airbnb,OCT046,Asha,2025-10-04,2025-10-07,3,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,450.00,EUR,Booked,asha@email.com,,India
OCT2025047,Booking,Airbnb,OCT047,Suzanne,2025-10-07,2025-10-09,2,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,300.00,EUR,Booked,suzanne@email.com,,USA
OCT2025048,Booking,Airbnb,OCT048,Taylor,2025-10-09,2025-10-11,2,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,300.00,EUR,Booked,taylor@email.com,,USA
OCT2025049,Booking,Airbnb,OCT049,Jan,2025-10-11,2025-10-13,2,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,300.00,EUR,Booked,jan@email.com,,Netherlands
OCT2025050,Booking,Airbnb,OCT050,Tom,2025-10-13,2025-10-15,2,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,300.00,EUR,Booked,tom@email.com,,USA
OCT2025053,Booking,VRBO,OCT053,Mary,2025-09-27,2025-10-01,4,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,600.00,EUR,Booked,mary@email.com,,USA
OCT2025054,Booking,VRBO,OCT054,Wynette,2025-10-15,2025-10-22,7,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,1050.00,EUR,Booked,wynette@email.com,,USA
OCT2025055,Booking,VRBO,OCT055,Timothy,2025-10-23,2025-10-26,3,"At Home in Madrid VIII, Centro, Prado, Letras",,685239,At Home in Madrid VIII  Centro  Prado  Letras,2,2025-09-16 12:00,450.00,EUR,Booked,timothy@email.com,,USA
OCT2025056,Booking,Airbnb,OCT056,Lee,2025-10-04,2025-10-08,4,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,600.00,EUR,Booked,lee@email.com,,USA
OCT2025057,Booking,Airbnb,OCT057,Rita,2025-10-08,2025-10-11,3,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,450.00,EUR,Booked,rita@email.com,,USA
OCT2025058,Booking,Airbnb,OCT058,Raul,2025-10-11,2025-10-14,3,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,450.00,EUR,Booked,raul@email.com,,Spain
OCT2025059,Booking,Airbnb,OCT059,Barbara,2025-10-17,2025-10-22,5,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,750.00,EUR,Booked,barbara@email.com,,USA
OCT2025063,Booking,VRBO,OCT063,Martine,2025-10-01,2025-10-04,3,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,450.00,EUR,Booked,martine@email.com,,France
OCT2025064,Booking,VRBO,OCT064,Kimberly,2025-10-14,2025-10-16,2,"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",,685237,At Home in Madrid IX  Trendy Chueca  Prado GranVia,2,2025-09-16 12:00,300.00,EUR,Booked,kimberly@email.com,,USA
OCT2025065,Booking,Airbnb,OCT065,Signe,2025-09-27,2025-10-04,7,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,1050.00,EUR,Booked,signe@email.com,,Denmark
OCT2025066,Booking,Airbnb,OCT066,Jacqueline,2025-10-05,2025-10-09,4,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,jacqueline@email.com,,France
OCT2025067,Booking,Airbnb,OCT067,Rob,2025-10-12,2025-10-16,4,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,rob@email.com,,Netherlands
OCT2025068,Booking,Airbnb,OCT068,Susan,2025-10-16,2025-10-19,3,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,susan@email.com,,USA
OCT2025069,Booking,Airbnb,OCT069,Cecil,2025-10-20,2025-10-22,2,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,300.00,EUR,Booked,cecil@email.com,,USA
OCT2025072,Booking,VRBO,OCT072,Shannon,2025-10-10,2025-10-12,2,"At Home in Madrid X, Center, Prado, Barrio Letras",,685238,At Home in Madrid X  Center  Prado  Barrio Letras,2,2025-09-16 12:00,300.00,EUR,Booked,shannon@email.com,,USA
